id,franchise_id,franchise_name,restaurant_franchise_id,country,city,lat,lng,geohash
103079215120,17,The Rustic Table,4340,US,Tulsa,36.168,-95.851,9y7v
42949672977,18,The Harvest Room,89646,US,Lancaster,40.057,-76.331,dr1e
214748364814,15,The Pearl Kitchen,92040,US,Chico,39.726,-121.837,9r13
171798691900,61,Blue Water Bistro,65939,GB,London,51.519,-0.087,gcpv
266287972429,78,The Hot Spot,11263,GB,London,51.527,-0.13,gcpv
128849018892,13,The Firehouse,5679,US,Saint Ann,38.715,-90.408,9yzs
240518168597,22,The Red Pepper,93164,US,Philadelphia,39.907,-75.15,dr4e
257698037828,69,Dragonfly Cafe,26468,GB,Paddington,51.516,-0.175,gcpv
120259084293,6,The Daily Grind,59829,US,Mobile,30.684,-88.062,dj3q
154618822732,77,Harvest Kitchen,41484,GB,London,51.52,-0.212,gcpv
154618822738,83,The Pantry,41484,NL,Amsterdam,52.386,4.847,u176
120259084295,8,The Green Olive,59829,US,Mesa,33.416,-111.714,9tbw
8589934645,54,The Spice House,12630,FR,Paris,48.902,2.36,u09w
154618822703,48,The Local Cafe,41484,AT,Vienna,48.196,16.383,u2ed
231928234020,37,Cafe Crepe,33573,AT,Vienna,48.204,16.373,u2ed
231928233988,5,The Hungry Hippo,33573,US,Pinetop,34.135,-109.95,9w1f
128849018937,58,A Tasty Bite,5679,FR,Paris,48.873,2.3,u09w
103079215105,2,Bella Cucina,4340,US,Miami,25.579,-80.367,dhwc
206158430258,51,The Pizzeria,53370,AT,Vienna,48.195,16.369,u2ed
146028888071,8,The Green Olive,70611,US,Madison,33.557,-83.475,djuw
206158430245,38,Cafe Viva,53370,US,Cody,44.526,-109.058,9xfm
85899345921,2,Bella Cucina,18952,US,Staten Island,-6.195,106.824,qqgu
180388626479,48,The Local Cafe,7531,FR,Paris,48.86,2.344,u09t
231928233986,3,Spice Bazaar,33573,US,Harvey,29.89,-90.058,9vrf
42949672995,36,Blue Ocean Grill,89646,US,Burlington,44.479,-73.219,drgv
128849018938,59,Azalea Cafe,5679,FR,Paris,48.874,2.298,u09w
180388626499,68,Delish Cafe,7531,NL,Amsterdam Zuidoost,52.305,4.948,u179
85899345960,41,The Daily Bread,18952,US,Griante,45.988,9.234,u0nt
17179869213,30,The Wine Cellar,10902,US,Geneva,42.857,-77.006,dr95
68719476785,50,The Pancake House,77517,US,Gresham,49.803,9.921,u0z5
154618822667,12,The Wooden Spoon,41484,US,Soddy Daisy,35.251,-85.181,dn72
146028888139,76,Happy Hour Cafe,70611,GB,London,51.5,-0.16,gcpu
62,63,Cafe Paris,47732,GB,London,51.512,-0.203,gcpv
146028888110,47,The Juicy Burger,70611,IT,Milan,45.491,9.161,u0nd
163208757260,13,The Firehouse,96638,US,Saint Robert,37.824,-92.15,9ywr
8589934658,67,Crimson and Clover,12630,GB,London,51.526,-0.114,gcpv
60129542165,22,The Red Pepper,71555,US,Golden,39.756,-105.222,9xj4
94489280523,12,The Wooden Spoon,95399,US,Bishop,37.363,-118.396,9qeu
8589934619,28,The Spicy Pickle,12630,US,Fontana,42.549,-88.576,dp94
266287972365,14,The Gourmet Garden,11263,US,Charles Town,39.293,-77.851,dqbx
154618822692,37,Cafe Crepe,41484,US,Lebanon,45.314,6.54,u0h9
197568495624,9,The Grill House,24784,US,Ontario,34.069,-117.563,9qh3
77309411357,30,The Wine Cellar,78190,US,Springfield,44.084,-123.04,9rbd
17179869248,65,Chef's Corner,10902,FR,Paris,48.875,2.325,u09w
8589934617,26,The Silver Spoon,12630,ES,Barcelona,41.394,2.163,sp3e
206158430255,48,The Local Cafe,53370,US,Walker,47.091,-94.572,cbke
60129542185,42,The Daily Scoop,71555,AT,Vienna,48.22,16.36,u2ed
146028888072,9,The Grill House,70611,US,Atlanta,33.849,-84.365,dnh0
231928234031,48,The Local Cafe,33573,FR,Paris,48.873,2.324,u09w
206158430254,47,The Juicy Burger,53370,US,Finlayson,46.18,-92.855,cbjy
128849018934,55,The Steak House,5679,FR,Paris,48.869,2.3,u09w
17179869202,19,The Tasting Room,10902,US,Colorado Springs,38.808,-104.727,9wvs
214748364846,47,The Juicy Burger,92040,FR,Paris,48.848,2.342,u09t
171798691898,59,Azalea Cafe,65939,GB,London,51.515,-0.148,gcpv
206158430274,67,Crimson and Clover,53370,FR,Paris,48.873,2.347,u09w
206158430281,74,Garden of Eatin',53370,GB,London,51.498,-0.18,gcpu
94489280545,34,The Tasty Treat,95399,US,Wolfeboro,43.578,-71.196,drtr
188978561064,41,The Daily Bread,3642,IT,Milan,45.478,9.202,u0nd
34359738391,24,The Fisherman's Catch,50333,US,Mableton,45.422,12.376,u20f
146028888076,13,The Firehouse,70611,US,Henderson,36.334,-78.441,dq2n
