id,franchise_id,franchise_name,restaurant_franchise_id,country,city,lat,lng,geohash
197568495625,10,The Golden Spoon,24784,US,Decatur,34.578,-87.021,dn4h
17179869242,59,Azalea Cafe,10902,FR,Paris,48.861,2.368,u09t
214748364826,27,The Corner Cafe,92040,US,Rapid City,44.08,-103.25,9xyd
154618822706,51,The Pizzeria,41484,AT,Vienna,48.213,16.413,u2ed
163208757312,65,Chef's Corner,96638,GB,London,51.495,-0.191,gcpu
68719476763,28,The Spicy Pickle,77517,US,Grayling,44.657,-84.744,dpgw
223338299419,28,The Spicy Pickle,36937,US,Oswego,43.452,-76.532,dr9x
240518168650,75,Greenhouse Cafe,93164,NL,Amsterdam,52.37,4.897,u173
128849018936,57,The Yellow Submarine,5679,FR,Paris,48.872,2.335,u09w
197568495635,20,The Brasserie,24784,US,Jeffersonville,39.616,-83.612,dph9
68719476768,33,The Blue Elephant,77517,IT,Milan,45.479,9.146,u0nd
51539607582,31,Bistro 42,6934,IT,Milan,45.444,9.153,u0nd
94489280554,43,The Food House,95399,FR,Paris,48.867,2.329,u09t
206158430215,8,The Green Olive,53370,US,Haltom City,32.789,-97.28,9vff
154618822657,2,Bella Cucina,41484,US,Fort Pierce,27.412,-80.391,dhyg
17179869217,34,The Tasty Treat,10902,US,Green Bay,44.476,-88.077,dpcm
8589934633,42,The Daily Scoop,12630,FR,Paris,48.854,2.343,u09t
240518168596,21,The Lazy Daisy,93164,US,Mendenhall,39.86,-75.646,dr44
171798691906,67,Crimson and Clover,65939,NL,Amsterdam,52.361,4.894,u173
42949673022,63,Cafe Paris,89646,GB,London,51.508,-0.107,gcpv
223338299416,25,The Cozy Cafe,36937,US,Great Barrington,42.238,-73.335,dreb
85899345943,24,The Fisherman's Catch,18952,ES,Barcelona,41.385,2.174,sp3e
55,56,The Waffle House,47732,FR,Paris,48.887,2.3,u09w
231928234012,29,The Olive Branch,33573,IT,Milan,45.472,9.078,u0n6
171798691866,27,The Corner Cafe,65939,IT,Milan,45.452,9.167,u0nd
266287972381,30,The Wine Cellar,11263,US,Chicago,41.797,-87.723,dp3t
8589934629,38,Cafe Viva,12630,AT,Vienna,48.204,16.389,u2ed
34359738401,34,The Tasty Treat,50333,AT,Vienna,48.201,16.359,u2ed
111669149720,25,The Cozy Cafe,84488,ES,Barcelona,41.384,2.171,sp3e
42949673016,57,The Yellow Submarine,89646,FR,Paris,48.876,2.294,u09w
188978561059,36,Blue Ocean Grill,3642,US,Kennebunkport,43.363,-70.477,drty
25769803787,12,The Wooden Spoon,72230,US,Napa,38.283,-122.289,9qc1
120259084327,40,Crimson Cafe,59829,FR,Paris,48.857,2.331,u09t
249108103222,55,The Steak House,55897,FR,Paris,48.85,2.345,u09t
25769803795,20,The Brasserie,72230,ES,Barcelona,41.385,2.179,sp3e
34359738395,28,The Spicy Pickle,50333,IT,Milan,45.47,9.195,u0nd
111669149696,1,Savoria,84488,US,Port Aransas,27.831,-97.065,9ufy
77309411331,4,The Blue Plate,78190,US,San Antonio,29.532,-98.56,9v3b
240518168626,51,The Pizzeria,93164,AT,Vienna,48.164,16.322,u2e9
214748364817,18,The Harvest Room,92040,ES,Barcelona,41.37,2.171,sp3e
249108103199,32,The Orange Peeler,55897,ES,Barcelona,41.389,2.173,sp3e
42949673007,48,The Local Cafe,89646,AT,Vienna,48.213,16.383,u2ed
17179869255,72,Flamingo Cafe,10902,GB,London,51.505,-0.148,gcpv
257698037821,62,Cafe Luminoso,26468,GB,London,51.48,-0.01,gcpu
154618822735,80,The Market Cafe,41484,NL,Amsterdam,52.363,4.88,u173
94489280558,47,The Juicy Burger,95399,FR,Paris,48.872,2.332,u09w
17179869198,15,The Pearl Kitchen,10902,US,Mariposa,37.487,-119.967,9qdt
266287972411,60,Big City Grill,11263,US,Celina,48.875,2.342,u09w
60129542151,8,The Green Olive,71555,US,Colton,34.02,-117.338,9qh9
231928234016,33,The Blue Elephant,33573,US,Umatilla,45.921,-119.289,c25j
85899345986,67,Crimson and Clover,18952,NL,Amsterdam,52.35,4.877,u173
214748364878,79,The Huckleberry Cafe,92040,NL,Amsterdam,52.365,4.88,u173
137438953513,42,The Daily Scoop,11038,FR,Paris,48.843,2.405,u09t
249108103180,13,The Firehouse,55897,US,Clinton,36.163,-84.085,dnkj
120259084322,35,Basilica Bistro,59829,AT,Vienna,48.2,16.355,u2ed
128849018881,2,Bella Cucina,5679,US,Clanton,32.803,-86.587,djf6
146028888075,12,The Wooden Spoon,70611,US,Burlington,36.07,-79.495,dnrm
103079215117,14,The Gourmet Garden,4340,US,Victorville,34.507,-117.326,9qhs
214748364807,8,The Green Olive,92040,US,Santa Barbara,34.44,-119.738,9q4g
111669149700,5,The Hungry Hippo,84488,US,Tucson,32.22,-110.877,9t9p
257698037804,45,The Green Bean,26468,FR,Paris,48.827,2.291,u09t
111669149750,55,The Steak House,84488,GB,London,51.492,-0.278,gcpu
146028888140,77,Harvest Kitchen,70611,GB,London,51.501,-0.116,gcpu
146028888101,38,Cafe Viva,70611,US,Bangor,44.791,-68.81,drzn
77309411381,54,The Spice House,78190,FR,Paris,48.884,2.333,u09w
34359738416,49,The Olive Tree,50333,FR,Paris,48.864,2.352,u09t
197568495639,24,The Fisherman's Catch,24784,US,Indiana,40.62,-79.13,dppx
146028888145,82,The Palate,70611,GB,London,51.517,-0.136,gcpv
223338299433,42,The Daily Scoop,36937,FR,Paris,48.875,2.301,u09w
214748364864,65,Chef's Corner,92040,FR,Paris,48.897,2.343,u09w
188978561074,51,The Pizzeria,3642,AT,Vienna,48.213,16.38,u2ed
197568495676,61,Blue Water Bistro,24784,FR,Paris,48.866,2.309,u09t
85899345983,64,Chateau de Cuisine,18952,GB,London,51.521,-0.092,gcpv
